order_id,cust_id,prod_id,quantity,order_date
100001,2250,89,1,2023-09-20
100002,4587,28,2,2023-12-04
100003,2366,84,3,2023-04-28
100004,133,6,3,2023-09-24
100005,1868,85,5,2023-08-24
100006,1369,1,3,2023-10-26
100007,178,59,3,2023-10-30
100008,1500,91,3,2023-11-04
100009,282,100,1,2023-09-11
100010,98,79,4,2023-06-03
100011,4092,89,4,2023-05-16
100012,3719,34,4,2023-04-06
100013,4591,93,4,2023-01-02
100014,2063,64,5,2023-05-10
100015,4870,45,4,2023-02-23
100016,2389,34,5,2023-06-10
100017,2444,87,4,2023-12-07
100018,1579,94,2,2023-10-29
100019,4556,16,3,2023-12-08
100020,1402,95,3,2023-09-20
100021,406,57,2,2023-11-26
100022,248,55,1,2023-10-27
100023,55,50,2,2023-11-04
100024,2913,65,5,2023-04-13
100025,2251,52,3,2023-08-20
100026,4516,52,4,2023-11-16
100027,4999,16,1,2023-07-12
100028,3897,78,4,2023-02-02
100029,3494,54,5,2023-10-15
100030,3308,15,2,2023-08-07
100031,2682,89,5,2023-09-18
100032,699,52,3,2023-08-19
100033,4463,76,1,2023-11-04
100034,2830,16,2,2023-12-05
100035,330,78,4,2023-10-10
100036,60,9,3,2023-05-14
100037,3965,7,2,2023-12-09
100038,1279,37,4,2023-03-30
100039,3025,94,3,2023-09-18
100040,2032,63,2,2023-07-26
100041,4511,9,4,2023-07-14
100042,3813,79,5,2023-07-11
100043,3769,16,1,2023-04-15
100044,2767,92,5,2023-09-04
100045,4781,38,5,2023-01-30
100046,2336,34,2,2023-09-03
100047,2645,98,3,2023-01-27
100048,913,51,3,2023-10-01
100049,1772,72,3,2023-10-14
100050,339,37,3,2023-11-20
100051,2006,78,3,2023-07-31
100052,1088,2,3,2023-06-18
100053,787,2,5,2023-04-14
100054,2382,31,1,2023-11-03
100055,1170,92,3,2023-12-26
100056,1207,93,4,2023-11-15
100057,1248,12,4,2023-02-19
100058,3490,93,3,2023-06-12
100059,3113,70,1,2023-05-04
100060,2897,73,2,2023-06-09
100061,1479,75,2,2023-08-27
100062,3454,85,1,2023-06-21
100063,2911,67,5,2023-03-29
100064,1997,58,5,2023-03-26
100065,2352,78,4,2023-06-09
100066,1411,66,1,2023-11-26
100067,1852,92,2,2023-11-08
100068,1880,17,2,2023-11-06
100069,2315,27,3,2023-05-20
100070,2410,60,4,2023-01-26
100071,43,95,2,2023-02-23
100072,1148,44,5,2023-12-03
100073,3841,40,2,2023-02-10
100074,1314,5,2,2023-06-15
100075,1708,78,5,2023-04-07
100076,1617,71,3,2023-05-30
100077,4613,3,4,2023-05-30
